z,FDK,Hybrid,TV
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0.00159939,0.000835218,0.000713832
5,0.00054146,0.000877751,0.000756459
6,0.000391528,0.000750115,0.000623136
7,0.000747099,0.000612965,0.000508951
8,0.000671437,0.000543563,0.000412686
9,0.000405282,0.000655883,0.000572133
10,0.000295727,0.000626516,0.000471005
11,0.000434781,0.000774874,0.000625094
12,0.00108121,0.00107056,0.000966252
13,0.00154909,0.00158146,0.00154048
14,0.0013573,0.00126775,0.00127301
15,0.00152471,0.00172969,0.00175958
16,0.00152389,0.00170249,0.00173065
17,0.00153462,0.00172546,0.00175117
18,0.00141779,0.00134145,0.00133111
19,0.0014902,0.00163352,0.00159353
20,0.00125961,0.00104363,0.000927167
21,0.000460564,0.000702521,0.000548967
22,0.000285054,0.00054022,0.000417829
23,0.000562934,0.0006939,0.000606722
24,0.000869487,0.000541396,0.000382742
25,0.000892697,0.000719425,0.000611246
26,0.000435466,0.000825041,0.000700095
27,0.000599561,0.000858882,0.000747358
28,0.00172022,0.000741748,0.000636346
29,0,0,0
30,0,0,0
31,0,0,0
