z,FDK,Hybrid,TV
0,0.00000,0.00000,0.00000
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000
4,0.00160,0.00080,0.00073
5,0.00054,0.00084,0.00075
6,0.00039,0.00071,0.00065
7,0.00075,0.00059,0.00060
8,0.00067,0.00073,0.00090
9,0.00041,0.00075,0.00096
10,0.00030,0.00058,0.00057
11,0.00043,0.00073,0.00064
12,0.00108,0.00112,0.00108
13,0.00155,0.00166,0.00171
14,0.00136,0.00135,0.00152
15,0.00152,0.00178,0.00197
16,0.00152,0.00177,0.00196
17,0.00153,0.00179,0.00197
18,0.00142,0.00139,0.00151
19,0.00149,0.00169,0.00170
20,0.00126,0.00108,0.00103
21,0.00046,0.00065,0.00058
22,0.00029,0.00064,0.00074
23,0.00056,0.00079,0.00098
24,0.00087,0.00064,0.00072
25,0.00089,0.00063,0.00055
26,0.00044,0.00077,0.00069
27,0.00060,0.00082,0.00076
28,0.00172,0.00073,0.00073
29,0.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000
31,0.00000,0.00000,0.00000
