z,FDK,Hybrid,TV
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0.00182121,0.000863456,0.000742323
5,0.00106127,0.000907603,0.000775603
6,0.000941649,0.000783507,0.000643997
7,0.00103453,0.000625823,0.000488569
8,0.000919289,0.000544157,0.000410041
9,0.000595791,0.000636898,0.000530464
10,0.000430289,0.00062442,0.000462705
11,0.000901198,0.000802005,0.000649871
12,0.00201689,0.00112104,0.000994456
13,0.0023851,0.00159349,0.00153711
14,0.001637,0.00126844,0.00127861
15,0.00153304,0.00170992,0.00174228
16,0.00149536,0.00170222,0.00172718
17,0.00154684,0.00169498,0.00172661
18,0.00165801,0.00132572,0.00131063
19,0.00240978,0.00165581,0.00159441
20,0.00204458,0.00109558,0.000962434
21,0.000890971,0.000719635,0.000564815
22,0.000472263,0.000536019,0.000398831
23,0.000766294,0.000664213,0.000555602
24,0.00107742,0.000547239,0.000385573
25,0.00112249,0.000715645,0.000576376
26,0.000935628,0.000862997,0.000730783
27,0.00106079,0.000902894,0.000778786
28,0.00187588,0.000750446,0.000650204
29,0,0,0
30,0,0,0
31,0,0,0
