z,FDK,Hybrid,TV
0,0.00000,0.00000,0.00000
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000
4,0.00182,0.00081,0.00074
5,0.00106,0.00086,0.00076
6,0.00094,0.00073,0.00065
7,0.00103,0.00060,0.00061
8,0.00092,0.00074,0.00091
9,0.00060,0.00076,0.00098
10,0.00043,0.00059,0.00058
11,0.00090,0.00076,0.00066
12,0.00202,0.00116,0.00110
13,0.00239,0.00169,0.00173
14,0.00164,0.00136,0.00154
15,0.00153,0.00178,0.00199
16,0.00150,0.00177,0.00196
17,0.00155,0.00176,0.00196
18,0.00166,0.00139,0.00150
19,0.00241,0.00173,0.00173
20,0.00204,0.00112,0.00105
21,0.00089,0.00068,0.00062
22,0.00047,0.00065,0.00076
23,0.00077,0.00079,0.00100
24,0.00108,0.00064,0.00072
25,0.00112,0.00064,0.00057
26,0.00094,0.00081,0.00073
27,0.00106,0.00086,0.00078
28,0.00188,0.00075,0.00074
29,0.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000
31,0.00000,0.00000,0.00000
